Latitude (decimal degrees):	40.768
Longitude (decimal degrees):	14.791
Radiation database:	PVGIS-SARAH

Results for:	June
Slope of plane (deg.):	33
Azimuth (orientation) of plane (deg.):	-5
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		19.39
01:00		0.0		0.0		0.0		0.0		19.19
02:00		0.0		0.0		0.0		0.0		18.98
03:00		0.0		0.0		0.0		16.48		18.78
04:00		25.41		0.0		24.95		58.43		19.21
05:00		120.83		42.5		75.42		255.7		19.63
06:00		296.15		166.89		123.66		485.39		20.06
07:00		482.5		310.67		163.61		700.02		20.88
08:00		651.54		443.85		197.13		871.55		21.7
09:00		779.5		542.12		225.05		983.17		22.51
10:00		835.98		587.0		235.83		1025.92		22.71
11:00		833.23		578.51		241.53		996.89		22.9
12:00		771.52		523.0		236.08		898.53		23.09
13:00		652.3		421.32		220.1		738.86		23.01
14:00		507.63		307.64		191.05		532.76		22.93
15:00		353.41		195.84		150.69		304.4		22.85
16:00		189.7		77.65		107.57		92.5		22.47
17:00		66.83		0.0		65.62		34.42		22.09
18:00		11.45		0.0		11.25		0.0		21.7
19:00		0.0		0.0		0.0		0.0		21.25
20:00		0.0		0.0		0.0		0.0		20.79
21:00		0.0		0.0		0.0		0.0		20.33
22:00		0.0		0.0		0.0		0.0		20.07
23:00		0.0		0.0		0.0		0.0		19.81

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
