Latitude (decimal degrees):	40.768
Longitude (decimal degrees):	14.791
Radiation database:	PVGIS-SARAH

Results for:	July
Slope of plane (deg.):	33
Azimuth (orientation) of plane (deg.):	-5
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		22.38
01:00		0.0		0.0		0.0		0.0		22.13
02:00		0.0		0.0		0.0		0.0		21.89
03:00		0.0		0.0		0.0		0.0		21.64
04:00		13.36		0.0		13.12		42.33		21.99
05:00		104.47		35.87		66.0		219.66		22.34
06:00		294.19		178.63		110.04		443.78		22.69
07:00		496.92		342.46		146.14		660.08		23.59
08:00		679.13		490.58		177.77		836.93		24.49
09:00		807.51		596.15		198.82		955.67		25.38
10:00		894.06		671.44		208.87		1006.31		25.64
11:00		908.7		677.28		217.35		985.3		25.89
12:00		857.97		632.24		212.22		894.56		26.14
13:00		723.21		508.13		203.31		741.66		26.12
14:00		570.37		382.31		178.25		541.18		26.09
15:00		395.39		244.2		143.67		317.36		26.07
16:00		207.16		102.98		99.34		109.57		25.64
17:00		64.97		0.0		63.79		36.78		25.22
18:00		9.89		0.0		9.71		0.0		24.8
19:00		0.0		0.0		0.0		0.0		24.32
20:00		0.0		0.0		0.0		0.0		23.85
21:00		0.0		0.0		0.0		0.0		23.38
22:00		0.0		0.0		0.0		0.0		23.06
23:00		0.0		0.0		0.0		0.0		22.74

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
