Latitude (decimal degrees):	40.768
Longitude (decimal degrees):	14.791
Radiation database:	PVGIS-SARAH

Results for:	May
Slope of plane (deg.):	33
Azimuth (orientation) of plane (deg.):	-5
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		15.73
01:00		0.0		0.0		0.0		0.0		15.54
02:00		0.0		0.0		0.0		0.0		15.35
03:00		0.0		0.0		0.0		0.0		15.17
04:00		11.46		0.0		11.25		56.06		15.54
05:00		103.35		34.93		66.18		252.4		15.92
06:00		265.99		139.34		121.96		487.83		16.29
07:00		453.14		273.84		171.96		708.38		17.15
08:00		623.2		406.18		207.31		883.73		18.01
09:00		746.45		493.01		242.01		996.33		18.87
10:00		774.69		504.83		258.02		1037.1		19.07
11:00		750.94		473.02		266.31		1003.33		19.27
12:00		693.75		424.71		258.13		897.9		19.46
13:00		583.56		343.17		230.94		729.64		19.35
14:00		450.79		252.41		190.71		514.92		19.24
15:00		314.74		162.54		146.33		281.0		19.13
16:00		158.4		55.41		99.45		73.65		18.67
17:00		49.28		0.0		48.39		23.77		18.21
18:00		0.66		0.0		0.65		0.0		17.75
19:00		0.0		0.0		0.0		0.0		17.32
20:00		0.0		0.0		0.0		0.0		16.9
21:00		0.0		0.0		0.0		0.0		16.48
22:00		0.0		0.0		0.0		0.0		16.26
23:00		0.0		0.0		0.0		0.0		16.04

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
