Latitude (decimal degrees):	40.768
Longitude (decimal degrees):	14.791
Radiation database:	PVGIS-SARAH

Results for:	October
Slope of plane (deg.):	33
Azimuth (orientation) of plane (deg.):	-5
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		16.39
01:00		0.0		0.0		0.0		0.0		16.23
02:00		0.0		0.0		0.0		0.0		16.07
03:00		0.0		0.0		0.0		0.0		15.9
04:00		0.0		0.0		0.0		0.0		15.8
05:00		0.0		0.0		0.0		27.21		15.71
06:00		132.64		74.49		56.74		406.2		15.61
07:00		345.69		221.9		120.04		657.64		16.47
08:00		503.15		339.57		157.9		851.09		17.34
09:00		599.44		410.31		182.17		968.37		18.2
10:00		646.94		433.21		206.02		1000.8		18.69
11:00		628.52		414.39		206.53		946.74		19.18
12:00		548.24		352.28		189.27		810.95		19.66
13:00		455.13		284.7		164.86		605.62		19.5
14:00		314.36		187.36		123.14		353.87		19.35
15:00		165.39		91.04		72.35		96.65		19.19
16:00		10.39		3.46		6.76		0.0		18.7
17:00		0.0		0.0		0.0		0.0		18.22
18:00		0.0		0.0		0.0		0.0		17.73
19:00		0.0		0.0		0.0		0.0		17.37
20:00		0.0		0.0		0.0		0.0		17.02
21:00		0.0		0.0		0.0		0.0		16.66
22:00		0.0		0.0		0.0		0.0		16.54
23:00		0.0		0.0		0.0		0.0		16.42

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
