time,T2m,RH,G,Gb,Gd,IR,WS10m,WD10m,SP
00:00,13.1,87.39,0.0,0.0,0.0,316.04,2.2,162.97,98396
01:00,12.91,87.44,0.0,0.0,0.0,316.24,2.14,163.53,98385
02:00,12.73,87.49,0.0,0.0,0.0,316.45,2.08,164.13,98374
03:00,12.91,87.05,0.0,0.0,0.0,317.3,2.07,162.47,98390
04:00,13.09,86.61,0.0,0.0,0.0,318.16,2.07,160.83,98406
05:00,13.27,86.17,48.07,80.72,34.7,319.01,2.06,159.23,98423
06:00,14.21,78.13,190.83,270.71,101.77,316.3,2.26,165.6,98421
07:00,15.15,70.1,358.07,382.26,163.63,313.59,2.46,172.07,98419
08:00,16.21,61.02,501.93,439.29,214.27,310.54,2.68,190.37,98417
09:00,16.41,57.7,584.0,460.9,231.23,308.26,3.0,194.37,98387
10:00,16.62,54.37,635.77,435.8,271.53,305.97,3.32,210.17,98357
11:00,16.84,51.05,674.13,487.06,260.07,303.68,3.64,214.07,98327
12:00,16.69,51.82,625.5,434.71,270.13,304.26,3.63,216.4,98307
13:00,16.55,52.59,533.43,389.49,247.4,304.83,3.61,206.6,98287
14:00,16.4,53.36,391.47,357.48,173.73,305.4,3.6,208.77,98266
15:00,15.91,58.64,289.07,304.87,151.8,307.75,3.12,205.53,98288
16:00,15.38,64.3,163.87,246.33,96.93,310.41,2.66,202.37,98311
17:00,14.9,69.41,40.5,130.17,29.63,312.45,2.18,199.13,98333
18:00,14.52,73.48,0.0,0.0,0.0,314.15,2.15,194.23,98367
19:00,14.15,77.54,0.0,0.0,0.0,315.85,2.13,189.43,98400
20:00,13.77,81.61,0.0,0.0,0.0,317.55,2.11,184.73,98434
21:00,13.63,83.56,0.0,0.0,0.0,317.55,2.15,183.7,98421
22:00,13.5,85.51,0.0,0.0,0.0,317.56,2.2,182.77,98409
23:00,13.36,87.46,0.0,0.0,0.0,317.57,2.24,157.8,98396
