time,T2m,RH,G,Gb,Gd,IR,WS10m,WD10m,SP
00:00,8.36,92.87,0.0,0.0,0.0,322.98,2.53,127.65,99166
01:00,8.25,92.23,0.0,0.0,0.0,322.36,2.47,127.48,99153
02:00,8.15,91.59,0.0,0.0,0.0,321.75,2.42,127.13,99141
03:00,8.0,92.0,0.0,0.0,0.0,321.81,2.41,152.55,99142
04:00,7.87,92.41,0.0,0.0,0.0,321.87,2.4,143.13,99144
05:00,7.73,92.83,0.0,0.0,0.0,321.93,2.39,133.58,99145
06:00,8.18,91.29,0.0,0.0,0.0,321.0,2.59,138.03,99168
07:00,8.63,89.76,51.0,66.03,41.39,320.07,2.8,107.84,99192
08:00,9.13,88.04,172.63,321.57,88.06,318.98,3.05,112.26,99215
09:00,9.73,84.33,275.77,438.44,115.58,317.81,3.21,116.71,99184
10:00,10.33,80.63,305.52,397.66,136.19,316.64,3.37,132.94,99153
11:00,10.92,76.92,308.65,395.25,134.71,315.47,3.54,137.45,99122
12:00,10.81,78.93,271.5,354.78,127.44,314.84,3.19,123.39,99106
13:00,10.69,80.93,211.84,297.0,114.19,314.21,2.84,120.94,99090
14:00,10.57,82.93,123.74,266.41,67.77,313.59,2.5,106.87,99074
15:00,10.2,85.54,13.35,0.0,13.35,315.72,2.51,106.19,99094
16:00,9.75,88.27,0.0,0.0,0.0,317.45,2.5,117.23,99114
17:00,9.42,90.75,0.0,0.0,0.0,319.75,2.52,104.84,99134
18:00,9.13,91.54,0.0,0.0,0.0,320.02,2.51,103.45,99151
19:00,8.85,92.33,0.0,0.0,0.0,320.28,2.49,136.9,99169
20:00,8.56,93.12,0.0,0.0,0.0,320.55,2.48,135.48,99186
21:00,8.47,93.19,0.0,0.0,0.0,321.08,2.49,134.39,99185
22:00,8.39,93.26,0.0,0.0,0.0,321.61,2.49,133.42,99184
23:00,8.3,93.33,0.0,0.0,0.0,322.14,2.5,132.29,99183
