Latitude (decimal degrees): 40.768
Longitude (decimal degrees): 14.791
Elevation (m): 245.0
month,year
1,2009
2,2007
3,2016
4,2016
5,2016
6,2010
7,2010
8,2007
9,2010
10,2013
11,2012
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,7.75,90.74,0.0,-0.0,0.0,316.75,2.3,186.0,99923.0
20090101:0100,8.13,91.66,0.0,-0.0,0.0,323.37,2.25,191.0,99862.0
20090101:0200,8.5,92.58,0.0,-0.0,0.0,329.99,2.2,196.0,99800.0
20090101:0300,8.87,93.51,0.0,-0.0,0.0,336.61,2.15,197.0,99748.0
20090101:0400,9.24,94.43,0.0,-0.0,0.0,343.23,2.1,197.0,99697.0
20090101:0500,9.61,95.35,0.0,-0.0,0.0,349.86,2.05,198.0,99645.0
20090101:0600,9.98,96.27,0.0,-0.0,0.0,356.48,1.99,202.0,99622.0
20090101:0700,10.35,97.2,15.0,0.0,15.0,363.1,1.94,206.0,99600.0
20090101:0800,11.41,94.24,53.0,0.0,53.0,344.65,3.61,210.0,99577.0
20090101:0900,11.75,94.14,79.0,0.0,79.0,343.55,4.06,213.0,99502.0
20090101:1000,12.09,94.05,37.0,0.0,37.0,342.45,4.51,217.0,99428.0
20090101:1100,12.43,93.95,105.0,0.0,105.0,341.35,4.97,220.0,99353.0
20090101:1200,12.4,94.83,36.0,0.0,36.0,342.85,4.87,220.0,99279.0
20090101:1300,12.37,95.71,31.0,0.0,31.0,344.35,4.78,220.0,99205.0
20090101:1400,12.35,96.59,75.0,8.9,73.0,345.85,4.69,219.0,99130.0
20090101:1500,12.35,97.25,14.0,0.0,14.0,349.78,4.44,219.0,99104.0
20090101:1600,12.36,97.9,0.0,-0.0,0.0,353.72,4.19,219.0,99078.0
20090101:1700,12.36,98.56,0.0,-0.0,0.0,357.65,3.94,219.0,99052.0
20090101:1800,12.18,98.67,0.0,-0.0,0.0,357.6,3.64,223.0,99046.0
20090101:1900,12.0,98.78,0.0,-0.0,0.0,357.55,3.33,226.0,99039.0
20090101:2000,11.82,98.89,0.0,-0.0,0.0,357.5,3.02,230.0,99033.0
20090101:2100,11.81,98.91,0.0,-0.0,0.0,357.42,2.74,245.0,99030.0
20090101:2200,11.79,98.93,0.0,-0.0,0.0,357.33,2.47,259.0,99026.0
20090101:2300,11.77,98.95,0.0,-0.0,0.0,357.25,2.19,273.0,99023.0
20090102:0000,11.38,98.52,0.0,-0.0,0.0,354.73,1.74,299.0,99033.0
20090102:0100,10.98,98.1,0.0,-0.0,0.0,352.22,1.28,325.0,99043.0
20090102:0200,10.58,97.67,0.0,-0.0,0.0,349.7,0.83,350.0,99052.0
20090102:0300,10.26,97.53,0.0,-0.0,0.0,350.07,1.05,1.0,99046.0
20090102:0400,9.94,97.4,0.0,-0.0,0.0,350.43,1.28,12.0,99039.0
20090102:0500,9.62,97.26,0.0,-0.0,0.0,350.8,1.5,24.0,99033.0
20090102:0600,9.92,95.64,0.0,-0.0,0.0,353.05,1.55,30.0,99046.0
20090102:0700,10.22,94.02,29.0,0.0,29.0,355.3,1.6,36.0,99059.0
20090102:0800,10.52,92.4,136.7,231.16,78.75,357.55,1.64,43.0,99072.0
20090102:0900,10.89,89.29,195.05,246.64,106.75,357.1,1.47,55.0,99014.0
20090102:1000,11.26,86.17,175.0,14.16,169.0,356.65,1.3,67.0,98955.0
20090102:1100,11.63,83.06,242.4,242.66,134.9,356.2,1.13,79.0,98897.0
20090102:1200,11.84,84.74,219.0,65.08,192.0,351.32,1.25,95.0,98858.0
20090102:1300,12.05,86.42,171.6,258.11,83.55,346.43,1.37,111.0,98819.0
20090102:1400,12.27,88.1,121.0,96.99,99.0,341.55,1.49,126.0,98780.0
20090102:1500,11.94,90.51,21.65,0.0,21.65,342.68,1.63,129.0,98751.0
20090102:1600,11.62,92.93,0.0,-0.0,0.0,343.82,1.77,131.0,98722.0
20090102:1700,11.29,95.34,0.0,-0.0,0.0,344.95,1.92,133.0,98693.0
20090102:1800,11.07,96.56,0.0,-0.0,0.0,348.98,1.68,141.0,98670.0
20090102:1900,10.84,97.77,0.0,-0.0,0.0,353.02,1.45,150.0,98648.0
20090102:2000,10.62,98.99,0.0,-0.0,0.0,357.05,1.21,158.0,98625.0
20090102:2100,10.77,99.05,0.0,-0.0,0.0,360.42,1.26,167.0,98573.0
20090102:2200,10.91,99.12,0.0,-0.0,0.0,363.78,1.3,176.0,98521.0
20090102:2300,11.05,99.18,0.0,-0.0,0.0,367.15,1.34,184.0,98470.0
20090103:0000,10.97,98.93,0.0,-0.0,0.0,366.08,1.03,189.0,98460.0
20090103:0100,10.89,98.67,0.0,-0.0,0.0,365.02,0.72,194.0,98450.0
20090103:0200,10.8,98.42,0.0,-0.0,0.0,363.95,0.41,198.0,98440.0
20090103:0300,10.74,98.63,0.0,-0.0,0.0,363.15,0.34,186.0,98415.0
20090103:0400,10.68,98.84,0.0,-0.0,0.0,362.35,0.26,174.0,98389.0
20090103:0500,10.62,99.05,0.0,-0.0,0.0,361.55,0.18,161.0,98363.0
20090103:0600,10.94,98.86,0.0,-0.0,0.0,362.25,0.21,135.0,98366.0
20090103:0700,11.26,98.68,32.45,0.0,32.45,362.95,0.24,109.0,98369.0
20090103:0800,11.58,98.49,25.0,0.0,25.0,363.65,0.28,83.0,98372.0
20090103:0900,11.8,98.45,221.35,303.95,112.3,364.12,0.41,69.0,98337.0
20090103:1000,12.03,98.4,58.0,0.0,58.0,364.58,0.55,55.0,98301.0
20090103:1100,12.26,98.36,243.3,229.81,141.15,365.05,0.69,41.0,98266.0
20090103:1200,11.66,98.45,93.0,0.0,93.0,361.53,1.43,37.0,98295.0
20090103:1300,11.07,98.53,167.3,241.38,84.45,358.02,2.16,33.0,98324.0
20090103:1400,10.48,98.62,29.0,0.0,29.0,354.5,2.9,29.0,98353.0
20090103:1500,10.04,98.71,22.25,0.0,22.25,356.05,2.99,27.0,98360.0
20090103:1600,9.61,98.79,0.0,-0.0,0.0,357.6,3.09,25.0,98366.0
20090103:1700,9.17,98.88,0.0,-0.0,0.0,359.15,3.19,23.0,98372.0
20090103:1800,8.82,98.76,0.0,-0.0,0.0,361.25,3.21,22.0,98382.0
20090103:1900,8.46,98.63,0.0,-0.0,0.0,363.35,3.24,21.0,98392.0
20090103:2000,8.1,98.51,0.0,-0.0,0.0,365.45,3.27,21.0,98402.0
20090103:2100,8.04,98.51,0.0,-0.0,0.0,364.9,3.32,21.0,98398.0
20090103:2200,7.98,98.51,0.0,-0.0,0.0,364.35,3.37,21.0,98395.0
20090103:2300,7.91,98.51,0.0,-0.0,0.0,363.8,3.42,22.0,98392.0
20090104:0000,7.54,97.9,0.0,-0.0,0.0,355.82,3.15,22.0,98411.0
20090104:0100,7.17,97.29,0.0,-0.0,0.0,347.83,2.89,23.0,98431.0
20090104:0200,6.79,96.68,0.0,-0.0,0.0,339.85,2.62,24.0,98450.0
20090104:0300,6.66,96.74,0.0,-0.0,0.0,339.82,2.39,23.0,98463.0
20090104:0400,6.52,96.81,0.0,-0.0,0.0,339.78,2.15,23.0,98476.0
